,Latitude,Longitude
"M̢con-P̩ronne, Burgundy, France",55.101017,14.708329
"Ile de Beaut̩, France",50.3698785,3.5040969
"Pfalz, Germany",50.118346,7.3089527
"Rheinhessen, Germany",49.8935328,8.0850303
"Okanagan Valley, British Columbia, Canada",49.83385,-119.5236098
"Vin de Pays Vignobles de France, France Other, France",48.8271436,2.2708329
"Wachau, Austria",48.3896089,15.4748897
"Weinviertel, Austria",48.3851895,16.5147276
"Ukraine, Ukraine",48.379433,31.1655799
"Alsace, Alsace, France",48.3181795,7.4416241
"Wagram, Austria",48.299052,16.5640125
"Carnuntum, Austria",48.113326,16.861693
"Leithaberg, Austria",47.9666667,16.6666667
"Eger, Hungary",47.9025348,20.3772284
"Chablis, Burgundy, France",47.815269,3.800451
"Petit Chablis, Burgundy, France",47.8121225,3.8026708
"Snipes Mountain, Columbia Valley, Washington, US",47.7510741,-120.7401385
"Ancient Lakes, Columbia Valley, Washington, US",47.7510741,-120.7401385
"Washington, Washington Other, Washington, US",47.7510741,-120.7401385
"Val de Loire, Loire Valley, France",47.5532402,1.0105289
"Vin de Pays du Jardin de la France, Loire Valley, France",47.5532402,1.0105289
"Vin de Pays du Val de Loire, Loire Valley, France",47.5532402,1.0105289
"Pays de Loire, Loire Valley, France",47.5532402,1.0105289
"Nieder̦sterreich, Austria",47.516231,14.550072
"Bourgogne V̩zelay, Burgundy, France",47.465674,3.746143
"Columbia Gorge (WA), Washington Other, Washington, US",47.4537758,-120.3251007
"Columbia Valley (WA), Columbia Valley, Washington, US",47.4537758,-120.3251007
"Lake Chelan, Columbia Valley, Washington, US",47.4537758,-120.3251007
"Moldova, Moldova",47.411631,28.369885
"Styria, Austria",47.3593442,14.4699827
"Marsannay, Burgundy, France",47.270302,4.988667
"Fixin, Burgundy, France",47.24534,4.972309
"Morey-Saint-Denis, Burgundy, France",47.195673,4.962496
"Vougeot, Burgundy, France",47.176617,4.962975
"Burgenland, Austria",47.1537165,16.2688797
"Nuits-St.-Georges, Burgundy, France",47.137985,4.9503199
