descriptor_raw,descriptor_level_1,descriptor_level_2,descriptor_level_3
fruit,fruit,fruit,fruit
rich,body,rich,rich
ripe,fruit,ripe,ripe
pear,fruit,tree fruit,pear
toast,oak,toast,toast
pineappl,fruit,tropical fruit,pineapple
crisp,acid,high acid,crisp
peach,fruit,stone fruit,peach
miner,inorganic,minerality,minerality
vanilla,oak,vanilla,vanilla
lemon,fruit,citrus fruit,lemon
citrus,fruit,citrus fruit,citrus
fresh,acid,medium acid,fresh
butter,microbial,butter,butter
sweet,sweetness,sweet,sweet
creami,microbial,cream,cream
tropic,fruit,tropical fruit,tropical fruit
spice,spice,spice,spice
light,body,light-bodied,light-bodied
soft,tannin,low tannin,soft
tropic fruit,fruit,tropical fruit,tropical fruit
fruiti,fruit,fruit,fruit
bright,acid,high acid,bright
apricot,fruit,stone fruit,apricot
honey,noble rot,beeswax,honey
wood,oak,wood,wood
yellow,visual,yellow,yellow
butter toast,oak,butter toast,butter toast
clean,style,clean,clean
caramel,oak,caramel,caramel
fruit flavor,fruit,fruit,fruit
eleg,style,elegant,elegant
toasti,oak,toast,toast
tight,tannin,high tannin,tight
oaki,oak,oak,oak
appl,fruit,tree fruit,apple
concentr,body,concentrated,concentrated
barrel,oak,oak,oak
cream,microbial,cream,cream
spici,spice,spice,spice
mango,fruit,tropical fruit,mango
yellow fruit,fruit,tree fruit,tree fruit
round,tannin,low tannin,round
bake,alcohol,high alcohol,baked
smoki,oak,smoke,smoke
butteri,microbial,butter,butter
butterscotch,oak,butterscotch,butterscotch
fullbodi,body,full-bodied,full-bodied
power,body,powerful,powerful
refresh,acid,medium acid,refreshing
tangerin,fruit,citrus fruit,tangerine
almond,oak,marzipan,marzipan
stone,inorganic,stone,stone
grapefruit,fruit,citrus fruit,grapefruit
tangi,acid,high acid,tangy
steeli,inorganic,steel,steel
brisk,acid,high acid,brisk
opul,body,opulent,opulent
warm,style,warm,warm
banana,fruit,tropical fruit,banana
juici,fruit,juicy,juicy
candi,fruit,candy,candy
floral,flower,floral,floral
ripe fruit,fruit,ripe,ripe
firm,tannin,high tannin,firm
nectarin,fruit,citrus fruit,nectarine
nut,oak,nut,nut
zest,fruit,citrus fruit,zest
zesti,acid,high acid,zesty
mediumbodi,body,medium-bodied,medium-bodied
citrusi,fruit,citrus fruit,citrus
popcorn,oak,popcorn,popcorn
citrus flavor,fruit,citrus fruit,citrus
lee,microbial,lees,lees
meyer lemon,fruit,citrus fruit,meyer lemon
blossom,flower,blossom,blossom
golden,visual,gold,gold
flavor pineappl,fruit,tropical fruit,pineapple
smoke,oak,smoke,smoke
peach flavor,fruit,stone fruit,peach
cinnamon,spice,cinnamon,cinnamon
creami textur,microbial,cream,cream
jam,fruit,jam,jam
custard,oak,custard,custard
heavi,body,full-bodied,heavy
juic,fruit,juicy,juicy
stone fruit,fruit,stone fruit,stone fruit
flower,flower,floral,floral
herb,herb,herb,herb
citrus fruit,fruit,citrus fruit,citrus
nutti,oak,nut,nut
honeysuckl,noble rot,honeysuckle,honeysuckle
lean,acid,high acid,lean
salt,salinity,salt,salt
bitter,tannin,high tannin,bitter
dri,sweetness,low sweetness,dry
vibrant,acid,high acid,vibrant
papaya,fruit,tropical fruit,papaya
vanilla flavor,oak,vanilla,vanilla
lemoni,fruit,citrus fruit,lemon
rind,fruit,citrus fruit,rind
crÃ¨me brÃ»lÃ©e,oak,crème brulee,crème brulee
close,body,closed,closed
lime,fruit,citrus fruit,lime
bouquet,flower,floral,floral
brisk acid,acid,high acid,brisk
kiwi,fruit,tropical fruit,kiwi
salti,salinity,salt,salt
plump,body,full-bodied,plump
unoak,oak,unoaked,unoaked
pineappl flavor,fruit,tropical fruit,pineapple
toast flavor,oak,toast,toast
spice flavor,spice,spice,spice
guava,fruit,tropical fruit,guava
pith,fruit,citrus fruit,pith
dens,body,dense,dense
sour,microbial,sour,sour
sharp,acid,high acid,sharp
ripe pear,fruit,tree fruit,ripe pear
earthi,inorganic,earth,earth
plum,fruit,red fruit,plum
hazelnut,oak,hazelnut,hazelnut
steel,inorganic,steel,steel
richer,body,rich,rich
medium bodi,body,medium-bodied,medium-bodied
nutmeg,spice,nutmeg,nutmeg
bold,body,full-bodied,full-bodied
chalki,inorganic,chalk,chalk
acid balanc,acid,medium acid,medium acid
modest,body,modest,modest
fleshi,style,fleshy,fleshy
oak,oak,oak,oak
yeasti,microbial,yeast,yeast
acid finish,acid,acid finish,acid finish
asian pear,fruit,tree fruit,asian pear
lemon flavor,fruit,citrus fruit,lemon
corn,oak,corn,corn
lemon zest,fruit,citrus fruit,lemon zest
ripe peach,fruit,stone fruit,ripe peach
oili,inorganic,oily,oily
pithi,fruit,citrus fruit,pith
balanc acid,acid,medium acid,medium acid
apricot flavor,fruit,stone fruit,apricot
resini,herb,resin,resin
flavor peach,fruit,stone fruit,peach
raci,acid,high acid,racy
ripe pineappl,fruit,tropical fruit,ripe pineapple
coconut,oak,coconut,coconut
linger finish,style,lingering finish,lingering finish
flat,acid,low acid,flat
tang,acid,high acid,tangy
flavor pear,fruit,tree fruit,pear
chunki,body,full-bodied,chunky
woodi,oak,wood,wood
pear fruit,fruit,tree fruit,pear
auster,body,austere,austere
fat,body,fat,fat
bread,microbial,bread,bread
rich textur,body,rich texture,rich texture
orang,fruit,citrus fruit,orange
restrain,style,restrained,restrained
brini,salinity,brine,brine
honeydew,fruit,tropical fruit,honeydew
shine,visual,shine,shine
leesi,microbial,lees,lees
pineappl fruit,fruit,tropical fruit,pineapple
hard,tannin,high tannin,hard
buttercream,oak,buttercream,buttercream
ginger,spice,ginger,ginger
flavor light,body,light-bodied,light-bodied
sugari,sweetness,sugar,sugar
peach fruit,fruit,stone fruit,peach
lemon curd,fruit,citrus fruit,lemon curd
fig,fruit,fig,fig
quinc,herb,quince,quince
brown,visual,brown,brown
nervi,acid,high acid,nerve
bake spice,spice,baking spices,baking spices
gold,visual,gold,gold
brioch,microbial,brioche,brioche
herbal,herb,herb,herb
dusti,tannin,dusty,dusty
finish clean,acid,clean finish,clean finish
voluptu,tannin,voluptuous,voluptuous
flamboy,fruit,flamboyant,flamboyant
lemon peel,fruit,citrus fruit,lemon peel
anis,spice,anise,anise
jasmin,flower,jasmine,jasmine
finish crisp,acid ,acid finish,acid finish
bite,acid,high acid,bite
pepper,spice,pepper,pepper
