,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
0,14.5%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"Cedar, clove, black currant, leather and Mediterranean herb aromas form the nose on this 100% Merlot. Smooth and enveloping, the full-bodied palate doles out mature black cherry, licorice, espresso and grilled herb framed in polished, fine-grained tannins. Drink 2020–2027.",Messorio,Vintus LLC,Le Macchiole 2015 Messorio Merlot (Toscana),$225, Tuscany,94,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Merlot,2015,Le Macchiole
1,14.2%,"Livermore Valley, Central Coast, California, US",750 ml,Red, US,4/1/2019,"Big and bold, this wine has heady aromas of cedar, toasted oak and cinnamon, followed by ripe and focused black-cherry flavors that have good depth. It is firmly tannic in a good way, has a velvety mouthfeel and sense of density and structure that will help it age. Best through 2023.",One Oak Vineyard,,Wood Family Vineyards 2016 One Oak Vineyard Merlot (Livermore Valley),$28, California,92, Central Coast,Jim Gordon,@gordone_cellars,Livermore Valley,Not rated yet [Add Your Review],Merlot,2016,Wood Family Vineyards
2,14.5%,"Santa Cruz Mountains, Central Coast, California, US",750 ml,Red, US,4/1/2019,"The nose on this bottling is shy at first, offering focused aromas of toasted wood, dark blackberry and caramel. A firm structure frames the palate, where juicy blackberry fruit is lifted by thyme and dried purple-flower flavors.",Gist Ranch Estate,,Lexington 2014 Gist Ranch Estate Merlot (Santa Cruz Mountains),$45, California,91, Central Coast,Matt Kettmann,@mattkettmann,Santa Cruz Mountains,Not rated yet [Add Your Review],Merlot,2014,Lexington
3,14.8%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,4/1/2019,"Candied black cherry, hickory smoke, vanilla and dried herbs show on the complex nose of this bottling. It's very plush, rounded and likable on the palate, where flavors of red cherry and caramel prove quite lengthy and medium weight.",Summit Creek,,Opolo 2016 Summit Creek Merlot (Paso Robles),$20, California,91, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles,Not rated yet [Add Your Review],Merlot,2016,Opolo
4,14%,"Judean Hills, Israel",750 ml,Red, Israel,4/1/2019,"Dark garnet to the eye, this wine has a nose of cherry and green bell pepper. Although tannins come on a bit strong, bright acidity offers balance. Flavors of black plum, cherry, pomegranate, coffee and chocolate wind down to a soft cranberry finish.",Reserve,Royal Wine Corporation,Flam 2016 Reserve Merlot (Judean Hills),$65,Judean Hills,91,,Mike DeSimone,@worldwineguys,,Not rated yet [Add Your Review],Merlot,2016,Flam
5,13.5%,"North Coast, North Coast, California, US",750 ml,Red, US,4/1/2019,"Well-balanced and nicely concentrated, this full-bodied wine fills its firm frame with a core of rich black cherry and shades of roast beef and pepper. It shows firm tannins and good acidity to counter the deep fruit notes.",,,Sebastiani 2016 Merlot (North Coast),$18, California,91, North Coast,Jim Gordon,@gordone_cellars,North Coast,Not rated yet [Add Your Review],Merlot,2016,Sebastiani
6,14%,"Upper Galilee, Israel",750 ml,Red, Israel,4/1/2019,"This wine has aromas of blackberry and thyme. Flavors of black cherry, raspberry, vanilla and aniseed are supported by a backdrop of smooth tannins that dry the palate ever so slightly, culminating in a smooth, lengthy finish.",,Palm Bay International,Recanati 2017 Merlot (Upper Galilee),$17,Upper Galilee,91,,Mike DeSimone,@worldwineguys,,Not rated yet [Add Your Review],Merlot,2017,Recanati
7,13.5%,"California, California Other, California, US",750 ml,Red, US,4/1/2019,"This wine brings out the wonderful natural herb, olive and tobacco side of Merlot, along with plenty of deep black fruits, too. It has a mouthfilling texture supported by moderate tannins, a touch of new oak that's not overwhelming and a lingering fruit and spice finish.",,,Josh Cellars 2016 Merlot (California),$15, California,90, California Other,Jim Gordon,@gordone_cellars,California,Not rated yet [Add Your Review],Merlot,2016,Josh Cellars
8,14.5%,"Oregon, Oregon Other, Oregon, US",750 ml,Red, US,4/1/2019,"A fine Merlot from a state rarely recognized for its versions of the grape, this ripe and rich wine was sourced from a vineyard in the northeast corner. Aged 22 months in 50% new oak barrels, it's awash in flavors of mocha and cherry, with tongue-scraping astringency as the tannins fade away. Drink 2020–2026.",Reserve,,Talent 2016 Reserve Merlot (Oregon),$45, Oregon,90, Oregon Other,Paul Gregutt,@paulgwine ,Oregon,Not rated yet [Add Your Review],Merlot,2016,Talent
9,14.5%,"Costa Toscana, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"This Merlot has aromas of black-skinned berry, cedar and vanilla. The concentrated palate presents blackberry jam, star anise and a hint of mocha alongside chewy tannins.",Strido,Opera Wine Imports,La Regola 2015 Strido Merlot (Costa Toscana),N/A, Tuscany,89,Costa Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Merlot,2015,La Regola
