,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
0,15.7%,"California, California Other, California, US",750 ml,Red, US,4/1/2019,"This is a lush and hearty take on Sangiovese, beginning with aromas of black currant, caramel, dried purple flowers, salted meats and coffee cream. The palate is tense right away, which gives structure to the liquid violet and black-cherry-laced coffee-cream flavors. The tannins are firm but polished, and acidity drives deep into the finish.",Death & Resurrection,,Desparada 2015 Death & Resurrection Sangiovese (California),$60, California,96, California Other,Matt Kettmann,@mattkettmann,California,Not rated yet [Add Your Review],Sangiovese,2015,Desparada
1,14%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"Made entirely with organically grown Sangiovese and aged in tonneaux, this has aromas of scorched earth, spiced plum, grilled herb and leather. The polished, enveloping palate doles out mature Marasca cherry, raspberry, licorice and tobacco while a hint of crushed mint provides back up. Velvety tannins give it structure and smooth texture while a note of blood orange lingers on the close. Drink through 2025.",Vigna Vecchia,Superior Wines,I Giusti e Zanza 2015 Vigna Vecchia Sangiovese (Toscana),$120, Tuscany,95,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2015,I Giusti e Zanza
2,13.5%,"Chianti Classico, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"Vibrant and silky, this pure expression of Sangiovese is all about finesse, starting with alluring scents of wild berry, crushed rose petal, tilled earth, aromatic herb and new leather. The elegant, linear palate is almost ethereal, offering juicy red cherry, strawberry compote, star anise and white pepper set against firm, refined tannins. It's balanced, with bright acidity. Enjoy now or hold for even more complexity. Drink through 2026.",,Oliver McCrum Wines,Castell'In Villa 2014  Chianti Classico,$27, Tuscany,93,Chianti Classico,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2014,Castell'In Villa
3,13.5%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"Aromas of dark-skinned fruit, exotic spice, blue flower and menthol shape the nose. It's linear, focused and ethereally elegant, offering succulent Morello cherry, raspberry compote and star anise alongside fine-grained tannins. Fresh acidity lends balance. Drink 2020–2028.",Fontalloro,Polaner Selections,Felsina 2016 Fontalloro Sangiovese (Toscana),$70, Tuscany,93,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2016,Felsina
4,14.5%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"This Sangiovese offers enticing scents of black-skinned berry, cedar and underbrush. The juicy, elegant palate delivers Marasca cherry, raspberry jam and star anise alongside supple, polished tannins. Drink through 2026.",Poggio Valente,Ethica Wines,Fattoria Le Pupille 2015 Poggio Valente Sangiovese (Toscana),$50, Tuscany,92,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2015,Fattoria Le Pupille
5,14%,"Chianti Classico, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"Made exclusively with Sangiovese, this offers aromas of French oak and black-skinned fruit. The elegantly structured palate presents ripe Marasca cherry, cranberry, oak-driven spice, orange peel and hints of coconut alongside fine-grained tannins that give the finish some grip.",Poggiorosso Gran Selezione,San Felice USA,San Felice 2015 Poggiorosso Gran Selezione  (Chianti Classico),$69, Tuscany,92,Chianti Classico,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2015,San Felice
6,13.5%,"Chianti Classico, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"Wild berry, fragrant blue flower, new leather and a whiff of cake spice take center stage on this elegant red. Linear and focused, the palate offers dried cherry, crushed botanical herb, star anise and a hint of rusty iron alongside polished, fine-grained tannins. Drink through 2025.",Riserva,Ethica Wines,Basilica Cafaggio 2015 Riserva  (Chianti Classico),$35, Tuscany,92,Chianti Classico,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2015,Basilica Cafaggio
7,14%,"Chianti Classico, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"Made entirely with Sangiovese, this opens with aromas of red-skinned berry, vanilla, cooking spice and a touch of eucalyptus. The juicy, balanced palate delivers raspberry jam, star anise, white pepper and tobacco alongside fine-grained tannins and bright acidity. Enjoy through 2026.",Bellezza Gran Selezione,Treasury Wine Estates,Castello di Gabbiano 2015 Bellezza Gran Selezione  (Chianti Classico),$35, Tuscany,92,Chianti Classico,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2015,Castello di Gabbiano
8,14%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"Made with Sangiovese, this opens with aromas of dark berry, cedar and eucalyptus. The savory palate offers black plum, white pepper and cinnamon alongside fine-grained tannins and fresh acidity. Drink through 2025.",Leone,Ethica Wines,Carobbio 2013 Leone Sangiovese (Toscana),$98, Tuscany,91,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2013,Carobbio
9,14%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"Made with Sangiovese, this focused red opens with aromas of French oak, scorched earth, new leather and mature black-skinned fruit. The firm, linear palate offers dried Morello cherry, espresso, coconut and star anise set against tight, fine-grained tannins that need time to unwind. Drink 2022–2030.",Grandi Annate,Tabaccaia USA,Avignonesi 2015 Grandi Annate Sangiovese (Toscana),$50, Tuscany,91,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2015,Avignonesi
10,13%,"Chianti Classico, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"Aromas of clove, woodland berry and a suggestion of new leather mingle with a whiff of pressed rose. On the linear palate, easy-drinking palate, elegant tannins accompany wild cherry and a hint of star anise. Drink through 2021.",,Ethica Wines,Basilica Cafaggio 2016  Chianti Classico,$30, Tuscany,90,Chianti Classico,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2016,Basilica Cafaggio
11,14.5%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"Enticing scents of violet, wild berry, Mediterranean herb and baking spice lead the nose. Smooth and structured, the palate doles out ripe Marasca cherry, blackberry and clove while fine-grained tannins lend taut support. A coffee bean note marks the close.",Sangiovese di Vitigliano,Montcalm Wine Importers,Vignamaggio 2015 Sangiovese di Vitigliano Sangiovese (Toscana),$75, Tuscany,90,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2015,Vignamaggio
12,14.5%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"Aromas of coffee, oak, toast and baked plum lead the nose. On the palate, tight, taut tannins underscore dried cherry, espresso and grilled sage. Drink over the next several years.",Montesodi,Shaw-Ross International Importers,Marchesi de' Frescobaldi 2015 Montesodi Sangiovese (Toscana),$44, Tuscany,90,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2015,Marchesi de' Frescobaldi
13,13.5%,"Chianti Classico, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"Made with organically grown Sangiovese, this opens with aromas of red berry, leather and underbrush. The juicy palate delivers red cherry, clove and white pepper alongside pliant tannins and fresh acidity. Drink through 2025.",,Empson USA Ltd,Fattoria Carpineta Fontalpino 2016  Chianti Classico,$26, Tuscany,90,Chianti Classico,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2016,Fattoria Carpineta Fontalpino
14,13.5%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"This Sangiovese opens with aromas of forest floor, cooking spice and red plum. The juicy palate delivers raspberry jam, star anise and white pepper alongside polished tannins. Enjoy through 2024.",Armonia,Tricana Imports,Losi Querciavalle 2013 Armonia Sangiovese (Toscana),$40, Tuscany,90,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2013,Losi Querciavalle
15,13.5%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"Made entirely with Sangiovese, this offers aromas of dark-skinned fruit, tilled soil and leather. The chewy palate delivers mature black plum, tobacco and white pepper alongside smooth, ripe tannins. Enjoy soon.",Sòdole,Montcalm Wine Importers,Guicciardini Strozzi 2013 Sòdole Sangiovese (Toscana),$55, Tuscany,89,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2013,Guicciardini Strozzi
16,14%,"Grampians, Victoria, Australia",750 ml,Red, Australia,4/1/2019,"Cinnamon and stalk aromas lead the way, followed closely by almost candied red fruits and florals. The varietal character is more apparent on the medium-bodied palate, where a tobacco leaf flavor joins oodles of juicy red berries backed by crunchy acidity and tightly grained, leathery tannins.",,Little Peacock Imports,Point Ormond 2017 Sangiovese (Grampians),$15, Victoria,89,Grampians,Christina Pickard,@winewchristina,,Not rated yet [Add Your Review],Sangiovese,2017,Point Ormond
17,15.2%,"Santa Ynez Valley, Central Coast, California, US",750 ml,Red, US,4/1/2019,There is a compelling gravelly minerality on the nose of this bottling along with aromas of black cherry and black plum. The palate is rich yet tart with sour cherry flavors as well as oregano and fennel bulb.,Stolpman Vineyard,,Santa Barbara Winery 2015 Stolpman Vineyard Sangiovese (Santa Ynez Valley),$28, California,89, Central Coast,Matt Kettmann,@mattkettmann,Santa Ynez Valley,Not rated yet [Add Your Review],Sangiovese,2015,Santa Barbara Winery
18,14%,"Chianti Classico, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"Bell pepper, cassis, oak and exotic spice aromas follow over to the medium-bodied palate along with licorice and dried cherry. Fine-grained tannins provide support.",Gran Selezione,Kobrand,Tenuta di Nozzole 2013 Gran Selezione  (Chianti Classico),$50, Tuscany,89,Chianti Classico,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],Sangiovese,2013,Tenuta di Nozzole
19,14.5%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,4/1/2019,"This wine is a blend of fruit from Boushey (62%) and Seven Hills vineyards. The aromas dazzle, with fruit-forward notes of raspberry, red cherry and cranberry along with cedar and spice accents. There's a lovely sense of purity and elegance to the palate, with tart fruit flavors. The tannins give a firm handshake, softening over time. It's a delightful, elegant expression of the variety. Put it on the dinner table to see it shine.",Sangio,,Covington 2016 Sangio Sangiovese (Columbia Valley (WA)),$27, Washington,88, Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Valley (WA),Not rated yet [Add Your Review],Sangiovese,2016,Covington
