,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
0,13.7%,"Santa Maria Valley, Central Coast, California, US",750 ml,White, US,4/1/2019,"Winemaker Vailia Esh's commitment to “give new verve to old songs” shines on this bottling from a cool-climate vineyard, which shows aromas of flint, grapefruit pith and wet stone on the nose. The tightly wound palate starts with flavors of fresh rubber and grapefruit peel before opening toward lime zest and wet concrete.",Presqu'ile Vineyard,,Desparada 2017 Presqu'ile Vineyard Sauvignon Blanc (Santa Maria Valley),$38, California,93, Central Coast,Matt Kettmann,@mattkettmann,Santa Maria Valley,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Desparada
1,13.9%,"Happy Canyon of Santa Barbara, Central Coast, California, US",750 ml,White, US,4/1/2019,"A richer style of Sauvignon Blanc, this bottling is a darker yellow in the glass and offers honeyed aromas of almond, orange, dried apple and pineapple brioche. It's soft, supple and slightly oily on the unctuous palate, where salted apple, petrol and light vanilla flavors converge into a white wine with power.",Vogelzang Vineyard,,Dragonette 2016 Vogelzang Vineyard Sauvignon Blanc (Happy Canyon of Santa Barbara),$45, California,93, Central Coast,Matt Kettmann,@mattkettmann,Happy Canyon of Santa Barbara,Not rated yet [Add Your Review],Sauvignon Blanc,2016,Dragonette
2,13.5%,"Happy Canyon of Santa Barbara, Central Coast, California, US",750 ml,White, US,4/1/2019,"Sharp aromas of lime and underripe orange meet guava and wet concrete on the nose of this bottling, which was fermented in large barrels. There is great tension on the palate, where lime peel, lemon juice and chalky flavors reign.",McGinley Vineyard,,Desparada 2017 McGinley Vineyard Sauvignon Blanc (Happy Canyon of Santa Barbara),$38, California,92, Central Coast,Matt Kettmann,@mattkettmann,Happy Canyon of Santa Barbara,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Desparada
3,14.4%,"Sonoma Coast, Sonoma, California, US",750 ml,White, US,4/1/2019,"With a persistence of lively acidity, this crisp white is fresh and floral, with textured waves of integrated flavor. The fruit consists of green apple, grapefruit and lime, a memorable medley of refreshment.",,,Glenwood Cellars 2016 Sauvignon Blanc (Sonoma Coast),$18, California,91, Sonoma,Virginie Boone,@vboone,Sonoma Coast,Not rated yet [Add Your Review],Sauvignon Blanc,2016,Glenwood Cellars
4,14.1%,"Eola-Amity Hills, Willamette Valley, Oregon, US",750 ml,White, US,4/1/2019,"This vibrant, sappy and delicious wine is another example of why Sauvignon Blanc seems to be a missed opportunity in Oregon. It offers flavors of lime, grapefruit, apple and melon, with a lightly buttery mouthfeel that's buttressed by juicy acidity.",,,Trathen Hall 2017 Sauvignon Blanc (Eola-Amity Hills),$23, Oregon,91, Willamette Valley,Paul Gregutt,@paulgwine ,Eola-Amity Hills,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Trathen Hall
5,13.5%,"Happy Canyon of Santa Barbara, Central Coast, California, US",750 ml,White, US,4/1/2019,"Straightforward Sauvignon Blanc aromas of apple skins, pear rinds, grass and wet stone show on the nose of this appellation blend. The palate starts tart with lime and then evolves into a creamier midpalate, offering flavors of lemon wedge and guava skin.",,,Dragonette 2017 Sauvignon Blanc (Happy Canyon of Santa Barbara),$35, California,91, Central Coast,Matt Kettmann,@mattkettmann,Happy Canyon of Santa Barbara,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Dragonette
6,13%,"Santa Ynez Valley, Central Coast, California, US",750 ml,White, US,4/1/2019,"Very light on the nose at first, the refreshing bottling offers subtle aromas of springtime flowers and delicate grass, proving quite appealing and even sexy. The subtleties continue on the palate, where rounded Asian pear flesh meets with a honeysuckle sweetness.",McGinley Vineyard,,Ojai 2017 McGinley Vineyard Sauvignon Blanc (Santa Ynez Valley),$26, California,91, Central Coast,Matt Kettmann,@mattkettmann,Santa Ynez Valley,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Ojai
7,13.3%,"Sonoma County, Sonoma, California, US",750 ml,White, US,4/1/2019,"Floral on the nose, this white is lively in acidity and stony in texture—a nice combination that gives it breadth and depth. Peach, apricot and Key lime flavors define the palate, with a lingering taste of melon. There is 5% Gewürztraminer blended in.",,,Outlot 2017 Sauvignon Blanc (Sonoma County),$19, California,90, Sonoma,Virginie Boone,@vboone,Sonoma County,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Outlot
8,12.9%,"Dry Creek Valley, Sonoma, California, US",750 ml,White, US,4/1/2019,"From a new producer in the appellation, this is a refreshing, light-bodied wine that displays flavors of peach and Meyer lemon. The bright acidity quenches from start to finish.",,,ZO Wines 2017 Sauvignon Blanc (Dry Creek Valley),$29, California,90, Sonoma,Virginie Boone,@vboone,Dry Creek Valley,Not rated yet [Add Your Review],Sauvignon Blanc,2017,ZO Wines
9,13.5%,"Monterey, Central Coast, California, US",750 ml,White, US,4/1/2019,"A classic Sauvignon Blanc at a fair price, this bottling starts with fresh and inviting aromas of apple blossom and red apple on the nose. Crisp and clean on the palate, it's tightly woven structure reveals lemon wedge and sliced Granny Smith apple flavors.",,,Morgan 2017 Sauvignon Blanc (Monterey),$18, California,90, Central Coast,Matt Kettmann,@mattkettmann,Monterey,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Morgan
10,13.5%,"Russian River Valley, Sonoma, California, US",750 ml,White, US,4/1/2019,This wine has a compact texture of firm acidity and tone. Subtle aromatics lead the way to defined flavors of melon and peach that have a density that persists on the long finish.,Hopkins River Ranch,,Redwood Hill 2017 Hopkins River Ranch Sauvignon Blanc (Russian River Valley),$25, California,89, Sonoma,Virginie Boone,@vboone,Russian River Valley,Not rated yet [Add Your Review],Sauvignon Blanc,2017,Redwood Hill
