,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
0,14.5%,"Fiddletown, Sierra Foothills, California, US",750 ml,Red, US,4/1/2019,"Focused fruit flavors and great structure make this wine delicious and well balanced. It shows ample blackberry, strawberry and light wood-smoke aromas, lush plum, berry and black-pepper flavors and a rich texture supported by firm tannins.",Zanini Vineyard,,Renwood 2016 Zanini Vineyard Zinfandel (Fiddletown),$40, California,93, Sierra Foothills,Jim Gordon,@gordone_cellars,Fiddletown,Not rated yet [Add Your Review],Zinfandel,2016,Renwood
1,14.5%,"Amador County, Sierra Foothills, California, US",750 ml,Red, US,4/1/2019,"Almost bursting with fruit flavors, this full-bodied wine oozes blackberries, blueberries and bittersweet chocolate. A smooth luxurious texture coats the palate, helped by moderate tannins.",Special Reserve Grandpère,,Renwood 2016 Special Reserve Grandpère Zinfandel (Amador County),$50, California,93, Sierra Foothills,Jim Gordon,@gordone_cellars,Amador County,Not rated yet [Add Your Review],Zinfandel,2016,Renwood
2,14.1%,"Amador County, Sierra Foothills, California, US",750 ml,Red, US,4/1/2019,"Toasty salt-and-pepper aromas precede meaty, gutsy, wild berry and prosciutto flavors in this authentic tasting wine from a vineyard first planted in the 1860s. It is full bodied, moderately tannic, has supportive acidity and a lip-smacking finish.",Original Grandpére Vineyard,,Noceto 2014 Original Grandpére Vineyard Zinfandel (Amador County),$38, California,93, Sierra Foothills,Jim Gordon,@gordone_cellars,Amador County,Not rated yet [Add Your Review],Zinfandel,2014,Noceto
3,14.5%,"Amador County, Sierra Foothills, California, US",750 ml,Red, US,4/1/2019,"Aromas of mint and vanilla in this creamy-textured full-bodied wine are followed by rich fruit and baking-spice flavors and layers of berries, cream and mocha that meld with a smooth mouthfeel.",Grand Wren,,Renwood 2016 Grand Wren Zinfandel (Amador County),$100, California,93, Sierra Foothills,Jim Gordon,@gordone_cellars,Amador County,Not rated yet [Add Your Review],Zinfandel,2016,Renwood
4,14.5%,"Amador County, Sierra Foothills, California, US",750 ml,Red, US,4/1/2019,Rich aromas and warm ripe mulled-fruit flavors meet moderate tannins and full body in this big winning wine. It has more structure than usual for the varietal and will pair well with a roast or braise.,Jack Rabbit Flat Vineyard,,Renwood 2016 Jack Rabbit Flat Vineyard Zinfandel (Amador County),$50, California,92, Sierra Foothills,Jim Gordon,@gordone_cellars,Amador County,Not rated yet [Add Your Review],Zinfandel,2016,Renwood
5,14.5%,"Amador County, Sierra Foothills, California, US",750 ml,Red, US,4/1/2019,"Intense ripe fruit flavors meet spicy smoky complexity in this full-bodied, concentrated and well-structured wine. It has a deep blueberry and blackberry core surrounded by hints of black pepper, baking spices and wood smoke that keep it interesting from the first whiff to the lingering finish.",Premier Old Vine,,Renwood 2016 Premier Old Vine Zinfandel (Amador County),$20, California,92, Sierra Foothills,Jim Gordon,@gordone_cellars,Amador County,Not rated yet [Add Your Review],Zinfandel,2016,Renwood
6,14.5%,"Amador County, Sierra Foothills, California, US",750 ml,Red, US,4/1/2019,"This dry wine is fruity, ripe and authentic, as rich strawberry and blackberry flavors flood the palate and peppery, chocolaty accents kick in. It is full bodied but barely tannic, smooth in texture and soft on the finish.",Indian Creek,,Renwood 2016 Indian Creek Zinfandel (Amador County),$40, California,92, Sierra Foothills,Jim Gordon,@gordone_cellars,Amador County,Not rated yet [Add Your Review],Zinfandel,2016,Renwood
7,15.6%,"Livermore Valley, Central Coast, California, US",750 ml,Red, US,4/1/2019,"This is a powerful, eminently flavorful wine that's dry, full bodied and well structured. It has resounding black-cherry and blackberry flavors, good acidity, firm tannins and a mouthcoating texture.",Estate Reserve Jewel Collection,,Ruby Hill Winery 2015 Estate Reserve Jewel Collection Zinfandel (Livermore Valley),$50, California,92, Central Coast,Jim Gordon,@gordone_cellars,Livermore Valley,Not rated yet [Add Your Review],Zinfandel,2015,Ruby Hill Winery
8,14.5%,"Amador County, Sierra Foothills, California, US",750 ml,Red, US,4/1/2019,"This is a grand wine, showing very concentrated fruit flavors and a firm structure. Deep blackberry, red cherry, clove and cedar fill the aroma and equally vivid flavors coat the palate.",Estate,,Renwood 2016 Estate Zinfandel (Amador County),$50, California,91, Sierra Foothills,Jim Gordon,@gordone_cellars,Amador County,Not rated yet [Add Your Review],Zinfandel,2016,Renwood
9,14.5%,"Amador County, Sierra Foothills, California, US",750 ml,Red, US,4/1/2019,"This wine tastes meaty and feels grippy, as it goes from black-pepper and black-plum aromas to ripe black-cherry flavors shaded by beefy spicy nuances. Moderate tannins bring a welcome grip to the mouthfeel and call for an equally meaty food pairing.",Riker Vineyard,,Renwood 2016 Riker Vineyard Zinfandel (Amador County),$40, California,91, Sierra Foothills,Jim Gordon,@gordone_cellars,Amador County,Not rated yet [Add Your Review],Zinfandel,2016,Renwood
10,14.5%,"Amador County, Sierra Foothills, California, US",750 ml,Red, US,4/1/2019,"Well balanced and snappy in the mouth, this wine has plenty of fruit flavors offset by grippy tannins and a touch of acidity. It coats the palate nicely buy keeps the taste buds fresh for another bite.",Sea of Grapes,,Renwood 2016 Sea of Grapes Zinfandel (Amador County),$50, California,91, Sierra Foothills,Jim Gordon,@gordone_cellars,Amador County,Not rated yet [Add Your Review],Zinfandel,2016,Renwood
11,15.5%,"Lodi, Central Valley, California, US",750 ml,Red, US,4/1/2019,"This sleek but powerful wine offers a nose of black cherries and dark chocolate. The rich palate brings pure berry flavors that linger on the luscious finish. Overall, it has a deep saturated color, fragrant aromas and generous fruit flavors.",Old Vine,,Zinderella 2016 Old Vine Zinfandel (Lodi),$25, California,91, Central Valley,Jim Gordon,@gordone_cellars,Lodi,Not rated yet [Add Your Review],Zinfandel,2016,Zinderella
12,14.9%,"Sierra Foothills, Sierra Foothills, California, US",750 ml,Red, US,4/1/2019,"This is a big, bold but well-mannered wine that coats the tongue with rich flavors of plums and berries. Dark chocolate marks the midpalate, while more dark fruit echos on the finish. It is full bodied, layered and deep, benefitting from moderate tannins to balance out its richness.",,,Counter Punch 2016 Zinfandel (Sierra Foothills),$40, California,91, Sierra Foothills,Jim Gordon,@gordone_cellars,Sierra Foothills,Not rated yet [Add Your Review],Zinfandel,2016,Counter Punch
13,15.6%,"Lodi, Central Valley, California, US",750 ml,Red, US,4/1/2019,"This is a bold, dry wine that smells like black pepper and turned earth, tastes fruity but not overripe and has a nice firm structure of moderate tannins and fruit acidity. It's great to find a full-bodied Zin with this appealing sense of balance.",Estate Grown,,Grady Family Vineyards 2016 Estate Grown Zinfandel (Lodi),$16, California,91, Central Valley,Jim Gordon,@gordone_cellars,Lodi,Not rated yet [Add Your Review],Zinfandel,2016,Grady Family Vineyards
14,14.5%,"Fiddletown, Sierra Foothills, California, US",750 ml,Red, US,4/1/2019,"This wine from a unique little appellation has a wonderful, concentrated fruit character that light oak spices accentuate, while a lightly tannic texture helps the mouthfeel. It has great balance and a long lingering finish.",,,Renwood 2016 Zinfandel (Fiddletown),$25, California,91, Sierra Foothills,Jim Gordon,@gordone_cellars,Fiddletown,Not rated yet [Add Your Review],Zinfandel,2016,Renwood
15,14.5%,"Sierra Foothills, Sierra Foothills, California, US",750 ml,Red, US,4/1/2019,"Big and brawny but well balanced, this full-bodied wine is a blend of selected lots. It combines roasted, meaty aromas with ripe blueberry, chocolate and black-pepper flavors. A firm structure gives it good heft on the palate, too.",Phil's Selection,,Starr 2014 Phil's Selection Zinfandel (Sierra Foothills),$25, California,91, Sierra Foothills,Jim Gordon,@gordone_cellars,Sierra Foothills,Not rated yet [Add Your Review],Zinfandel,2014,Starr
16,14.3%,"Amador County, Sierra Foothills, California, US",750 ml,Red, US,4/1/2019,"Big and balanced, this full-bodied wine from possibly the oldest Zinfandel vineyard in California blends tasty berry aromas with rich and spicy fruit flavors, moderate tannins and a good mouthfilling texture. It was fermented in a concrete egg-shaped container and aged in 10% new French oak.",Original Grandpére Vineyard Old Vine,,Andis 2015 Original Grandpére Vineyard Old Vine Zinfandel (Amador County),$40, California,91, Sierra Foothills,Jim Gordon,@gordone_cellars,Amador County,Not rated yet [Add Your Review],Zinfandel,2015,Andis
17,13.5%,"Gioia del Colle, Southern Italy, Italy",750 ml,Red, Italy,4/1/2019,"Showing the more elegant side of the grape, this is floral and delicate on the nose, with a core of red plum and forest berry aromas. While the palate is light in profile, there's wonderful tension to the acidity and structure to the tannins, building a frame for the crushed cherry and plum flavors. Pressed violet and delicate, peppery spice linger on the finish.",Senatore,Wine 4 All,Coppi 2015 Senatore Primitivo (Gioia del Colle),$29, Southern Italy,90,Gioia del Colle,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Primitivo, Zinfandel",2015,Coppi
