descriptor,descriptor_refined,,,,,,
acid,acid,,,,,,
acid balanc,acid balanc,,,,,,
acid clean,acid clean,,,,,,
acid crisp,crisp acid,,,,,,
acid cut,high acid,,,,,,
acid finish,finish acid,,,,,,
acid fresh,fresh acid,,,,,,
acid fruit,fruit acid,,,,,,
acid hint,low acid,,,,,,
acid light,low acid,,,,,,
acid miner,acid miner,,,,,,
acid rich,acid rich,,,,,,
acid ripe,acid ripe,,,,,,
acid soft,low acid,,,,,,
acid tannin,tannin acid,,,,,,
allspic,allspic,,,,,,
almond,almond,,,,,,
ampl acid,high acid,,,,,,
ani,anis,,,,,,
anis,anis,,,,,,
appl,appl,,,,,,
appl aroma,appl,,,,,,
appl blossom,appl blossom,,,,,,
appl citrus,citrus appl,,,,,,
appl flavor,appl,,,,,,
appl fruit,appl,,,,,,
appl lemon,lemon appl,,,,,,
appl melon,melon appl,,,,,,
appl note,appl,,,,,,
appl peach,peach appl,,,,,,
appl pear,pear appl,,,,,,
appl skin,appl skin,,,,,,
apricot,apricot,,,,,,
apricot flavor,apricot,,,,,,
apricot peach,peach apricot,,,,,,
aroma berri,berri,,,,,,
aroma blackberri,blackberri,,,,,,
aroma cherri,cherri,,,,,,
aroma fresh,fresh,,,,,,
aroma fruit,fruit,,,,,,
aroma plum,plum,,,,,,
aroma ripe,ripe,,,,,,
aroma toast,toast,,,,,,
aroma vanilla,vanilla,,,,,,
aromat,aromat,,,,,,
asian pear,asian pear,,,,,,
asian spice,asian spice,,,,,,
asparagus,asparagus,,,,,,
asphalt,asphalt,,,,,,
auster,auster,,,,,,
bacon,bacon,,,,,,
bake,bake,,,,,,
bake appl,bake appl,,,,,,
bake berri,bake berri,,,,,,
bake cherri,bake cherri,,,,,,
bake fruit,bake fruit,,,,,,
bake plum,bake plum,,,,,,
bake spice,bake spice,,,,,,
balanc acid,medium acid,,,,,,
balsam,balsam,,,,,,
balsam note,balsam,,,,,,
banana,banana,,,,,,
barbecu,barbecu,,,,,,
bark,bark,,,,,,
barrel flavor,flavor barrel,,,,,,
bean,bean,,,,,,
